section,record_type,field,value
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U21335661
Withholding Tax,Data,USD,U21335661
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U21335661
Withholding Tax,Data,USD,U21335661
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U21335661
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,Total,
Interest,Header,Currency,Account
Interest,Data,USD,U3314869
Interest,Data,USD,U3314869
Interest,Data,USD,U3314869
Interest,Data,USD,U3314869
Interest,Data,USD,U3314869
Interest,Data,USD,U3314869
Interest,Data,USD,U3314869
Interest,Data,USD,U3314869
Interest,Data,USD,U3314869
Interest,Data,USD,U3314869
Interest,Data,USD,U21335661
Interest,Data,USD,U3314869
Interest,Data,USD,U3314869
Interest,Data,USD,U21335661
Interest,Data,USD,U3314869
Interest,Data,USD,U3314869
Interest,Data,USD,U21335661
Interest,Data,USD,U3314869
Interest,Data,USD,U3314869
Interest,Data,USD,U21335661
Interest,Data,USD,U3314869
Interest,Data,USD,U3314869
Interest,Data,USD,U21335661
Interest,Data,USD,U21335661
Interest,Data,USD,U3314869
Interest,Data,USD,U3314869
Interest,Data,USD,U3314869
Interest,Data,USD,U3314869
Interest,Data,USD,U3314869
Interest,Data,Total,
Interest Accruals,Header,Currency,Field Name
Interest Accruals,Data,Base Currency Summary,Starting Accrual Balance
Interest Accruals,Data,Base Currency Summary,Interest Accrued
Interest Accruals,Data,Base Currency Summary,Accrual Reversal
Interest Accruals,Data,Base Currency Summary,FX Translation
Interest Accruals,Data,Base Currency Summary,Ending Accrual Balance
Change in Dividend Accruals,Header,Asset Category,Currency
Change in Dividend Accruals,Data,Starting Dividend Accruals in USD,
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Total,
Change in Dividend Accruals,Data,Ending Dividend Accruals in USD,
Stock Yield Enhancement Program Securities Lent,Header,Asset Category,Currency
Stock Yield Enhancement Program Securities Lent,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent,Data,Total,
Stock Yield Enhancement Program Securities Collateral Held at IBKRSS,Header,Asset Category,Currency
Stock Yield Enhancement Program Securities Collateral Held at IBKRSS,Data,Securities,USD
Stock Yield Enhancement Program Securities Collateral Held at IBKRSS,Data,Total,
Stock Yield Enhancement Program Securities Lent Activity,Header,Asset Category,Currency
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD
